dataset_split,case_or_session_id,anchor_id,manual_is_usable,anchor_usable,anchor_score,selected_anchor_id,is_selected,source
E3,case_001_brick_01_clean_regular,A1,True,True,85.0,,,original_e3
E3,case_001_brick_01_clean_regular,A2,True,True,90.0,,,original_e3
E3,case_001_brick_01_clean_regular,A3,True,True,95.0,,,original_e3
E3,case_001_brick_01_clean_regular,A4,True,True,88.0,,,original_e3
E3,case_001_brick_01_clean_regular,A5,True,False,30.0,,,original_e3
E3,case_003_brick_03_chipped_jagged,A1,True,True,90.0,,,original_e3
E3,case_003_brick_03_chipped_jagged,A2,False,False,30.0,,,original_e3
E3,case_003_brick_03_chipped_jagged,A3,False,True,75.0,,,original_e3
E3,case_003_brick_03_chipped_jagged,A4,False,True,85.0,,,original_e3
E3,case_003_brick_03_chipped_jagged,A5,True,True,80.0,,,original_e3
E3,case_004_brick_04_debris_obstruction,A1,True,True,90.0,,,original_e3
E3,case_004_brick_04_debris_obstruction,A2,False,False,30.0,,,original_e3
E3,case_004_brick_04_debris_obstruction,A3,False,False,20.0,,,original_e3
E3,case_004_brick_04_debris_obstruction,A4,True,True,85.0,,,original_e3
E3,case_004_brick_04_debris_obstruction,A5,True,False,35.0,,,original_e3
E3,case_005_brick_05_debris_obstruction,A1,True,True,90.0,,,original_e3
E3,case_005_brick_05_debris_obstruction,A2,True,True,85.0,,,original_e3
E3,case_005_brick_05_debris_obstruction,A3,True,False,30.0,,,original_e3
E3,case_005_brick_05_debris_obstruction,A4,False,False,20.0,,,original_e3
E3,case_005_brick_05_debris_obstruction,A5,False,True,88.0,,,original_e3
E3,case_006_timber_01_clean_regular,A1,True,True,90.0,,,original_e3
E3,case_006_timber_01_clean_regular,A2,True,False,30.0,,,original_e3
E3,case_006_timber_01_clean_regular,A3,True,True,85.0,,,original_e3
E3,case_006_timber_01_clean_regular,A4,True,True,88.0,,,original_e3
E3,case_006_timber_01_clean_regular,A5,True,True,82.0,,,original_e3
E3,case_007_timber_02_chipped_jagged,A1,True,True,90.0,,,original_e3
E3,case_007_timber_02_chipped_jagged,A2,True,True,85.0,,,original_e3
E3,case_007_timber_02_chipped_jagged,A3,True,True,88.0,,,original_e3
E3,case_007_timber_02_chipped_jagged,A4,False,False,30.0,,,original_e3
E3,case_007_timber_02_chipped_jagged,A5,True,True,87.0,,,original_e3
E3,case_008_timber_03_chipped_jagged,A1,True,True,70.0,,,original_e3
E3,case_008_timber_03_chipped_jagged,A2,True,True,85.0,,,original_e3
E3,case_008_timber_03_chipped_jagged,A3,True,True,75.0,,,original_e3
E3,case_008_timber_03_chipped_jagged,A4,False,False,30.0,,,original_e3
E3,case_008_timber_03_chipped_jagged,A5,True,False,30.0,,,original_e3
E3,case_009_timber_04_debris_obstruction,A1,False,False,30.0,,,original_e3
E3,case_009_timber_04_debris_obstruction,A2,True,True,90.0,,,original_e3
E3,case_009_timber_04_debris_obstruction,A3,True,False,35.0,,,original_e3
E3,case_009_timber_04_debris_obstruction,A4,True,False,35.0,,,original_e3
E3,case_009_timber_04_debris_obstruction,A5,True,True,85.0,,,original_e3
E3,case_010_timber_05_debris_obstruction,A1,False,False,30.0,,,original_e3
E3,case_010_timber_05_debris_obstruction,A2,True,True,90.0,,,original_e3
E3,case_010_timber_05_debris_obstruction,A3,True,True,85.0,,,original_e3
E3,case_010_timber_05_debris_obstruction,A4,True,True,88.0,,,original_e3
E3,case_010_timber_05_debris_obstruction,A5,False,False,32.0,,,original_e3
new10,case_001,A1,True,True,95.0,A1,True,new10
new10,case_001,A2,False,False,30.0,A1,False,new10
new10,case_001,A3,False,True,85.0,A1,False,new10
new10,case_001,A4,True,True,80.0,A1,False,new10
new10,case_002,A1,True,True,90.0,A1,True,new10
new10,case_002,A2,False,False,30.0,A1,False,new10
new10,case_002,A3,False,False,30.0,A1,False,new10
new10,case_002,A4,True,False,20.0,A1,False,new10
new10,case_003,A1,False,False,30.0,A2,False,new10
new10,case_003,A2,False,True,90.0,A2,True,new10
new10,case_003,A3,True,True,85.0,A2,False,new10
new10,case_003,A4,True,True,88.0,A2,False,new10
new10,case_005,A1,True,True,90.0,A5,False,new10
new10,case_005,A2,True,True,85.0,A5,False,new10
new10,case_005,A3,True,True,80.0,A5,False,new10
new10,case_005,A4,False,False,20.0,A5,False,new10
new10,case_005,A5,True,True,88.0,A5,True,new10
new10,case_006,A1,False,False,30.0,A2,False,new10
new10,case_006,A2,True,True,90.0,A2,True,new10
new10,case_006,A3,True,True,75.0,A2,False,new10
new10,case_009,A1,True,True,90.0,A1,True,new10
new10,case_009,A2,True,True,85.0,A1,False,new10
new10,case_009,A3,True,True,75.0,A1,False,new10
new10,case_009,A4,False,False,20.0,A1,False,new10
new10,case_010,A1,True,True,90.0,A3,False,new10
new10,case_010,A2,False,True,85.0,A3,False,new10
new10,case_010,A3,True,True,92.0,A3,True,new10
new10,case_010,A4,True,True,88.0,A3,False,new10
