model,split,n_expected,n_valid,TP,FP,TN,FN,precision,recall,specificity,F1,accuracy,balanced_accuracy,scenes_expected,scenes_complete,selected_good,selected_bad,abstain
Qwen2.5-32B,all,73,73,43,6,16,8,0.8775510204081632,0.8431372549019608,0.7272727272727273,0.86,0.8082191780821918,0.785204991087344,16,16,15,1,0
Qwen2.5-32B,E3,45,45,26,3,9,7,0.896551724137931,0.7878787878787878,0.75,0.8387096774193549,0.7777777777777778,0.7689393939393939,9,9,9,0,0
Qwen2.5-32B,new10,28,28,17,3,7,1,0.85,0.9444444444444444,0.7,0.8947368421052632,0.8571428571428571,0.8222222222222222,7,7,6,1,0
Qwen3-2B,all,73,73,41,8,14,10,0.8367346938775511,0.803921568627451,0.6363636363636364,0.82,0.7534246575342466,0.7201426024955437,16,16,13,2,1
Qwen3-2B,E3,45,45,27,6,6,6,0.8181818181818182,0.8181818181818182,0.5,0.8181818181818182,0.7333333333333333,0.6590909090909092,9,9,7,2,0
Qwen3-2B,new10,28,28,14,2,8,4,0.875,0.7777777777777778,0.8,0.8235294117647058,0.7857142857142857,0.788888888888889,7,7,6,0,1
Qwen2.5-3B,all,73,73,36,13,9,15,0.7346938775510204,0.7058823529411765,0.4090909090909091,0.72,0.6164383561643836,0.5574866310160428,16,16,13,3,0
Qwen2.5-3B,E3,45,45,22,8,4,11,0.7333333333333333,0.6666666666666666,0.3333333333333333,0.6984126984126984,0.5777777777777777,0.5,9,9,7,2,0
Qwen2.5-3B,new10,28,28,14,5,5,4,0.7368421052631579,0.7777777777777778,0.5,0.7567567567567568,0.6785714285714286,0.6388888888888888,7,7,6,1,0
Classical RGB+mask,all,73,73,42,12,10,9,0.7777777777777778,0.8235294117647058,0.45454545454545453,0.8,0.7123287671232876,0.6390374331550802,16,16,13,3,0
Classical RGB+mask,E3,45,45,27,5,7,6,0.84375,0.8181818181818182,0.5833333333333334,0.8307692307692308,0.7555555555555555,0.7007575757575758,9,9,8,1,0
Classical RGB+mask,new10,28,28,15,7,3,3,0.6818181818181818,0.8333333333333334,0.3,0.75,0.6428571428571429,0.5666666666666667,7,7,5,2,0
