dataset_split,case_or_session_id,num_images,parse_ok,schema_valid,selected_anchor_id,final_robot_action,selected_manual_is_usable,selected_good,selected_bad,no_safe_anchor,no_safe_when_good_exists,manual_best_selected,error
E3,case_001_brick_01_clean_regular,5,True,True,A3,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E3,case_002_brick_02_chipped_jagged,5,True,True,A4,CHOOSE_BEST_ANCHOR,False,False,True,False,False,False,
E3,case_003_brick_03_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,True,
E3,case_004_brick_04_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,True,
E3,case_005_brick_05_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E3,case_006_timber_01_clean_regular,5,True,True,A4,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E3,case_007_timber_02_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E3,case_008_timber_03_chipped_jagged,5,True,True,A2,CHOOSE_BEST_ANCHOR,True,True,False,False,False,True,
E3,case_009_timber_04_debris_obstruction,5,True,True,A2,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E3,case_010_timber_05_debris_obstruction,5,True,True,A2,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_035248,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_035433,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_035620,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_035801,4,True,True,A4,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_035949,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_041815,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_042004,4,True,True,A4,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
E45,session_20260528_042147,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,
