dataset_split,case_or_session_id,num_images,parse_ok,schema_valid,selected_anchor_id,final_robot_action,selected_manual_is_usable,selected_good,selected_bad,no_safe_anchor,no_safe_when_good_exists,manual_best_selected,error,request_elapsed_ms
E3,case_001_brick_01_clean_regular,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5834.833317901939
E3,case_002_brick_02_chipped_jagged,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5937.463148031384
E3,case_003_brick_03_chipped_jagged,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5443.058711010963
E3,case_004_brick_04_debris_obstruction,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5647.897172020748
E3,case_005_brick_05_debris_obstruction,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5487.915669102222
E3,case_006_timber_01_clean_regular,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5541.665235999972
E3,case_007_timber_02_chipped_jagged,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5672.863036161289
E3,case_008_timber_03_chipped_jagged,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,5390.129102859646
E3,case_009_timber_04_debris_obstruction,5,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,7026.233552955091
E3,case_010_timber_05_debris_obstruction,5,True,True,A5,CHOOSE_BEST_ANCHOR,False,False,True,False,False,False,,6007.461616070941
E45,session_20260528_035248,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4898.306519025937
E45,session_20260528_035433,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4860.116233117878
E45,session_20260528_035620,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4861.517545999959
E45,session_20260528_035801,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4860.106925945729
E45,session_20260528_035949,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4614.741158904508
E45,session_20260528_041815,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4787.023507989943
E45,session_20260528_042004,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4789.400523994118
E45,session_20260528_042147,4,True,True,,NO_SAFE_ANCHOR,,False,False,True,True,False,,4707.506144884974
