dataset_split,case_or_session_id,num_images,parse_ok,schema_valid,selected_anchor_id,final_robot_action,selected_manual_is_usable,selected_good,selected_bad,no_safe_anchor,no_safe_when_good_exists,manual_best_selected,error,request_elapsed_ms
E3,case_001_brick_01_clean_regular,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,8647.5443149684
E3,case_002_brick_02_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,7480.565567966551
E3,case_003_brick_03_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,True,,6674.204882001504
E3,case_004_brick_04_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,True,,6758.172219968401
E3,case_005_brick_05_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,6739.036891958676
E3,case_006_timber_01_clean_regular,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,6051.97623395361
E3,case_007_timber_02_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5237.51894000452
E3,case_008_timber_03_chipped_jagged,5,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,7125.873172073625
E3,case_009_timber_04_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,False,False,True,False,False,False,,6656.175452051684
E3,case_010_timber_05_debris_obstruction,5,True,True,A1,CHOOSE_BEST_ANCHOR,False,False,True,False,False,False,,6716.6508580558
E45,session_20260528_035248,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5663.926367997192
E45,session_20260528_035433,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5779.201820027083
E45,session_20260528_035620,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5809.610762982629
E45,session_20260528_035801,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5763.179723056965
E45,session_20260528_035949,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5635.84192795679
E45,session_20260528_041815,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,6011.983476928435
E45,session_20260528_042004,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,5778.615362942219
E45,session_20260528_042147,4,True,True,A1,CHOOSE_BEST_ANCHOR,True,True,False,False,False,False,,6014.749270048924
