case_id,case_index,material,object_id,candidate_id,candidate_family,selected_for_major,selected_for_minor,candidate_p0_x,candidate_p0_y,candidate_direction_x,candidate_direction_y,candidate_endpoint1_x,candidate_endpoint1_y,candidate_endpoint2_x,candidate_endpoint2_y,candidate_path_length_px_from_csv,mask_path_length_px_recomputed,mask_path_length_mm,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_depth_median_mm,strip_depth_lower_endpoint_or_quantile_mm,strip_depth_upper_endpoint_or_quantile_mm,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,manual_major_selected,manual_minor_selected
case_001_1,1,timber,1,A1,pipeline_major,False,False,518.0576441917456,356.32024784681107,0.00796786344887534,0.9999682560721916,517.615427770333,300.82200963480443,518.4998606131581,411.8184860588177,111.00000000000001,111.00000000000001,37.87062517848188,37.92732537518657,True,,9184,0.9293582617483578,310.0,-18.28914011409356,19.67095688012234,percentile,0.0025,0.9975,-18.28914011409356,19.67095688012234,37.9600969942159,,
case_001_1,1,timber,1,A2,pipeline_major,True,False,665.2522583007812,355.64739990234375,0.007967863448875916,0.9999682560721915,664.8140258110931,300.6491458183732,665.6904907904694,410.6456539863143,110.00000000000003,110.00000000000003,37.529448375072135,36.421765257548465,True,,9122,0.9371833839918946,311.0,-17.478591183074975,18.921353345019853,percentile,0.0025,0.9975,-17.478591183074975,18.921353345019853,36.39994452809483,38.0,
case_001_1,1,timber,1,A3,pipeline_major,False,False,812.4508563415413,355.4745360859125,0.007967863448874884,0.9999682560721915,812.0126238518533,300.47628200194197,812.8890888312295,410.47279016988307,110.00000000000003,110.00000000000003,37.52944837507223,26.284565545929237,True,,6401,0.7028646891507517,312.0,-6.977842644157465,19.0426547972963,percentile,0.0025,0.9975,-6.977842644157465,19.0426547972963,26.020497441453767,,
case_001_1,1,timber,1,A4,pipeline_minor,False,False,664.4672635221037,319.8824973424072,-0.9999682560721915,0.00796786344887562,893.9599782906716,318.0538726808902,434.97454875353577,321.7111220039241,458.99999999999994,458.99999999999994,156.62010678143886,157.97292992666343,True,,31487,0.8278137356133679,310.0,-80.39846119251058,77.58810489717628,percentile,0.0025,0.9975,-80.39846119251058,77.58810489717628,157.98656608968687,,
case_001_1,1,timber,1,A5,pipeline_minor,False,True,665.2522583007812,355.64739990234375,-0.9999682560721916,0.007967863448875635,894.2449889413131,353.82275917255123,436.2595276602494,357.47204063213627,457.99999999999994,457.99999999999994,156.2788865052258,158.3840585258702,True,,38944,0.972713717693837,311.0,-80.67412588515077,77.73240399978887,percentile,0.0025,0.9975,-80.67412588515077,77.73240399978887,158.40652988493963,,156.5
case_001_1,1,timber,1,A6,pipeline_minor,False,False,665.0372848233866,391.42027032572923,-0.9999682560721916,0.00796786344887565,893.5300313358823,389.5996135276611,436.5445383108908,393.2409271237973,456.99999999999994,456.99999999999994,155.9376662290143,158.05644729562147,True,,37264,0.9618602547674682,312.0,-80.02177921966825,77.88607516831529,percentile,0.0025,0.9975,-80.02177921966825,77.88607516831529,157.90785438798355,,
case_002_2,2,timber,2,A1,pipeline_major,False,False,478.3887369974542,252.17304470319345,0.9994449125807262,-0.033314662185056576,425.9178790869661,253.92206446790894,530.8595949079423,250.424024938478,104.99999999999999,104.99999999999999,50.45889826725134,39.89355566890722,True,,6850,0.7665821715251373,293.0,-12.19357885541682,27.604010458128066,percentile,0.0025,0.9975,-12.19357885541682,27.604010458128066,39.79758931354488,,
case_002_2,2,timber,2,A2,pipeline_major,True,False,477.7121858351966,201.8595938896106,0.9994449125807262,-0.033314662185056576,425.24132792470846,203.60861365432606,530.1830437456847,200.11057412489512,104.99999999999999,104.99999999999999,50.458898267252806,39.42274882752163,True,,6931,0.7628571428571429,292.0,-12.667449234297697,26.624681328683756,percentile,0.0025,0.9975,-12.667449234297697,26.624681328683756,39.292130562981455,37.5,
case_002_2,2,timber,2,A3,pipeline_major,False,False,475.0367448477775,151.61277240039783,0.9994449125807262,-0.033314662185056576,422.5658869372894,153.36179216511331,527.5076027582656,149.86375263568237,104.99999999999999,104.99999999999999,50.45889826725136,38.090144753903004,True,,5966,0.6743372216330858,291.0,-11.060097991288693,26.85581428245121,percentile,0.0025,0.9975,-11.060097991288693,26.85581428245121,37.9159122737399,,
case_002_2,2,timber,2,A4,pipeline_minor,False,False,442.99515559182043,203.51710008507354,0.0333146621850566,0.9994449125807262,440.57984258340383,131.0573439229709,445.41046860023704,275.9768562471762,145.00000000000003,145.00000000000003,69.67248126206916,69.59793722894509,True,,3314,0.3269202198781756,292.0,-32.05481264668241,37.53107505301761,percentile,0.0025,0.9975,-32.05481264668241,37.53107505301761,69.58588769970001,,
case_002_2,2,timber,2,A5,pipeline_minor,False,False,477.2291207099988,202.37597367699348,0.033314662185056285,0.9994449125807261,474.64723439065693,124.91899295198719,479.81100702934066,279.83295440199976,155.0,155.0,74.47747996979805,68.29531181348078,True,,11921,0.8879160636758321,292.0,-31.03438658744707,37.49439432104815,percentile,0.0025,0.9975,-31.03438658744707,37.49439432104815,68.52878090849522,,
case_002_2,2,timber,2,A6,pipeline_minor,False,True,511.4464284970845,200.73512481262307,0.03331466218505614,0.9994449125807262,508.8478848466502,122.77842163132642,514.0449721475189,278.69182799391973,156.00000000000003,156.00000000000003,74.95797984057096,73.9795472439957,True,,12697,0.9645285249778304,291.0,-36.13652410552299,38.13013326609893,percentile,0.0025,0.9975,-36.13652410552299,38.13013326609893,74.26665737162192,,75.1
case_003_3,3,timber,3,A1,pipeline_major,False,False,363.64064315279353,434.51832809035625,0.312598621022717,0.9498853099899459,346.4477189965441,382.27463604090923,380.83356730904296,486.76202013980327,109.99999999999999,109.99999999999999,37.40924047614827,37.60231026263998,True,,9280,0.9297735924664396,310.0,-17.506117638525513,20.11385019120948,percentile,0.0025,0.9975,-17.506117638525513,20.11385019120948,37.619967829734996,,
case_003_3,3,timber,3,A2,pipeline_major,False,False,486.4617776192945,395.15176786102745,0.3125986210227165,0.949885309989946,469.26885346304505,342.90807581158043,503.65470177554386,447.3954599104745,109.99999999999997,109.99999999999997,37.40924047614851,38.22248461267463,True,,9395,0.9405345880468515,311.0,-18.38095940266431,19.814092210136735,percentile,0.0025,0.9975,-18.38095940266431,19.814092210136735,38.195051612801045,,
case_003_3,3,timber,3,A3,pipeline_major,True,False,609.1266127752841,355.31026497670365,0.3125986210227166,0.949885309989946,592.089987929546,303.5415155822516,626.1632376210222,407.0790143711557,109.00000000000003,109.00000000000003,37.06915647181973,37.82268579611199,True,,9332,0.9340406365729156,310.0,-18.2021228113762,19.549497353618634,percentile,0.0025,0.9975,-18.2021228113762,19.549497353618634,37.75162016499484,37.5,
case_003_3,3,timber,3,A4,pipeline_major,False,False,731.6351486207623,314.9938194373849,0.3125986210227172,0.9498853099899459,714.911122396047,264.1749553529228,748.3591748454777,365.812683521847,107.00000000000003,107.00000000000003,36.38898846316266,37.33105308834811,True,,9250,0.9268414731785428,310.0,-17.905746259324687,19.523762477316776,percentile,0.0025,0.9975,-17.905746259324687,19.523762477316776,37.429508736641466,,
case_003_3,3,timber,3,A5,pipeline_major,False,False,854.299983776752,275.15231655306115,0.31259862102271746,0.9498853099899458,837.4196582415252,223.85850981360406,871.1803093119787,326.4461232925182,108.00000000000001,108.00000000000001,36.72907246749092,37.90605229566662,True,,9289,0.9303233556912603,310.0,-18.528565317470562,19.352772846481365,percentile,0.0025,0.9975,-18.528565317470562,19.352772846481365,37.88133816395192,,
