trial,dataset,requested_material,candidate_id,score,margin_diagnostic_only,actual_class,label_source,correct,scores_file
old_1,original27,brick,candidate_001_brick,0.1517,-0.0827,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_001_TS_F01_brick/attempts/attempt_001/material_verification/material_scores.json
old_2,original27,timber,candidate_002_timber,0.487,0.4114,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_002_TS_F01_timber/attempts/attempt_001/material_verification/material_scores.json
old_3,original27,brick,candidate_001_brick,0.3359,0.16109999999999997,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_003_TS_F02_brick/attempts/attempt_001/material_verification/material_scores.json
old_4,original27,concrete block,candidate_002_concrete_block,0.597,0.5627,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_004_TS_F02_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_5,original27,timber,candidate_001_timber,0.4746,0.4282,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_005_TS_F03_timber/attempts/attempt_001/material_verification/material_scores.json
old_6,original27,concrete block,candidate_001_concrete_block,0.497,0.4324,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_006_TS_F03_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_7,original27,brick,candidate_001_brick,0.4744,0.3162,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_007_TS_F04_brick/attempts/attempt_001/material_verification/material_scores.json
old_8,original27,timber,candidate_002_timber,0.35,0.24169999999999997,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_008_TS_F04_timber/attempts/attempt_001/material_verification/material_scores.json
old_9,original27,concrete block,candidate_002_concrete_block,0.6392,0.5932999999999999,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_009_TS_F04_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_10,original27,brick,candidate_001_brick,0.3431,0.30100000000000005,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_010_TS_F05_brick/attempts/attempt_001/material_verification/material_scores.json
old_11,original27,timber,candidate_002_timber,0.921,0.9187000000000001,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_011_TS_F05_timber/attempts/attempt_001/material_verification/material_scores.json
old_12,original27,brick,candidate_001_brick,0.2936,0.17990000000000003,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_012_TS_F06_brick/attempts/attempt_001/material_verification/material_scores.json
old_13,original27,concrete block,candidate_001_concrete_block,0.3752,0.206,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_013_TS_F06_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_14,original27,timber,candidate_001_timber,0.7768,0.7608,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_014_TS_F07_timber/attempts/attempt_001/material_verification/material_scores.json
old_15,original27,concrete block,candidate_001_concrete_block,0.1576,-0.0252,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_015_TS_F07_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_16,original27,brick,candidate_001_brick,0.3575,0.27949999999999997,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_016_TS_F08_brick/attempts/attempt_001/material_verification/material_scores.json
old_17,original27,timber,candidate_002_timber,0.7949,0.7625000000000001,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_017_TS_F08_timber/attempts/attempt_001/material_verification/material_scores.json
old_18,original27,concrete block,candidate_002_concrete_block,0.1821,0.005600000000000022,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_018_TS_F08_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_19,original27,brick,candidate_001_brick,0.1223,-0.191,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_019_TS_F09_brick/attempts/attempt_001/material_verification/material_scores.json
old_20,original27,timber,candidate_002_timber,0.7462,0.7367,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_020_TS_F09_timber/attempts/attempt_001/material_verification/material_scores.json
old_21,original27,brick,candidate_001_brick,0.1895,0.028200000000000003,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_021_TS_F10_brick/attempts/attempt_001/material_verification/material_scores.json
old_22,original27,concrete block,candidate_002_concrete_block,0.3567,0.23190000000000002,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_022_TS_F10_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_23,original27,timber,candidate_001_timber,0.4755,0.4119,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_023_TS_F11_timber/attempts/attempt_001/material_verification/material_scores.json
old_24,original27,concrete block,candidate_002_concrete_block,0.1818,-0.07860000000000003,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_024_TS_F11_concrete_block/attempts/attempt_001/material_verification/material_scores.json
old_25,original27,brick,candidate_001_brick,0.1995,-0.2007,brick,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_025_TS_F12_brick/attempts/attempt_001/material_verification/material_scores.json
old_26,original27,timber,candidate_002_timber,0.5294,0.4707,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_026_TS_F12_timber/attempts/attempt_001/material_verification/material_scores.json
old_27,original27,concrete block,candidate_003_concrete_block,0.3874,0.21100000000000002,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_027_TS_F12_concrete_block/attempts/attempt_001/material_verification/material_scores.json
case_001_brick,revision36,brick,candidate_002_brick,0.4374,0.3489,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_brick/material_scores.json
case_001_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.1952,0.07060000000000001,timber,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_concrete_block/material_scores.json
case_001_timber,revision36,timber,candidate_003_timber,0.2466,0.09310000000000002,concrete block,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_timber/material_scores.json
case_002_brick,revision36,brick,candidate_001_brick,0.3238,0.08009999999999998,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_brick/material_scores.json
case_002_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.2437,-0.08009999999999998,brick,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_concrete_block/material_scores.json
case_002_timber,revision36,timber,candidate_002_timber,0.4674,0.4566,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_timber/material_scores.json
case_003_brick,revision36,brick,candidate_001_brick,0.3366,0.19870000000000002,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_brick/material_scores.json
case_003_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.1379,-0.19870000000000002,brick,manual,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_concrete_block/material_scores.json
case_003_timber,revision36,timber,candidate_002_timber,0.6981,0.6531,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_timber/material_scores.json
case_004_brick,revision36,brick,candidate_001_brick,0.3286,0.297,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_004_brick/material_scores.json
