source_table,source_row,session_id,cycle_index,specimen_id,material,condition_label,repeat_index,axis_mode,timestamp_start,timestamp_end,pipeline_session_path,pipeline_success,failure_reason,selected_object_class,selected_candidate_id,selected_anchor_id,qwen_selected_anchor,anchor_score,anchor_backend,mask_path_length_mm,depth_path_length_mm,upv_path_length_mm,clamp_opening_mm,depth_valid,depth_mask_disagreement_percent,robot_moved,motion_success,clamp_moved,arduino_available,clamp_attempted,clamp_success,clamp_failure_reason,release_attempted,release_success,home_returned,home_success,home_success_after_execution,execution_success,total_pipeline_timing_ms,target_selection_timing_ms,geometry_timing_ms,anchor_selection_timing_ms,path_length_timing_ms,robot_plan_timing_ms,execution_timing_ms,approach_final_target_pose,approach_final_actual_before,approach_final_actual_after,home_target_pose,final_robot_pose_if_available,tcp_position_error_mm,tcp_orientation_error_deg,time_of_flight_us,manual_width_mm,signal_quality,operator_note,photo_path,upv_device_reading_id,computed_velocity_m_s,valid_signal,failed_signal,velocity_error_vs_depth_percent,width_error_depth_vs_manual_mm,width_error_depth_vs_manual_percent,cycle_dir,reading_index,requested_material,anchor_count_generated,anchor_count_metadata,stage_names,stage_success_flags,reading_dir,attempt_count,precheck_attempts,pre_capture_ready_for_capture,ur_rtde_available,arduino_available_pre_capture,pre_capture_home_success,precheck_attempt_count,reading_source,imported_from_session,source_specimen_id,source_reading_index,target_specimen_id,target_reading_index,skipped_robot_execution_due_to_import
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/02_tables/e45_all_cycles_master.csv,2,session_20260527_164956,1,brick_01,brick,proposed_contact_usable,1,major,2026-05-27T16:49:56-04:00,2026-05-27T16:52:52-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_001/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,94.235,v2a_qwen32_single_anchor_contact_scoring,94.49650407261434,94.60286163671736,94.60286163671736,99.60286163671736,True,0.11255185061797887,True,True,True,True,True,True,,True,True,True,True,True,True,115217.344,9424.565,224.6,39579.349,871.227,6.982,62780.694,"[-0.007563391635850231, -0.37126438161465747, 0.17067820050942145, -0.7911556527197705, -3.0399926215158, -0.00021328148636359177]","[-0.007580672399100907, -0.371270676842385, 0.2007261781538931, -0.7911544053625514, -3.0399641163455025, -7.511728402563567e-05]","[-0.007567982835147384, -0.3712796995448633, 0.17070194971942204, -0.7911530651867209, -3.039941213191325, -0.00010883236721288219]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.044476873630312296, -0.3099534232565086, 0.444925406635969, 2.5868533253577807e-05, -3.1411957727256374, -0.0001607445449819173]",0.028631,0.006672,,96.3,stable,time of flight forgot to record,,,,False,True,,-1.6971383632826331,-1.762345133211457,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_001,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/02_tables/e45_all_cycles_master.csv,3,session_20260527_164956,2,brick_01,brick,proposed_contact_usable,2,major,2026-05-27T16:52:53-04:00,2026-05-27T16:55:46-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_002/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,94.366,v2a_qwen32_single_anchor_contact_scoring,94.84657646479563,94.94438424972626,94.94438424972626,99.94438424972626,True,0.10312210369229997,True,True,True,True,True,True,,True,True,True,True,True,True,106165.015,8745.953,237.186,30873.314,881.324,6.543,63269.653,"[-0.007082132525359559, -0.3717124579832958, 0.17065577981577845, -0.7784724027190109, -3.043256775102037, -0.00026989212146175535]","[-0.007067865679347009, -0.37170850353895507, 0.20065363216958818, -0.7783969193923121, -3.043273930076859, -0.0003392988245637494]","[-0.007105630471464084, -0.37173137476815893, 0.1706968093139693, -0.7785680166315042, -3.043218045187739, -8.125013894583919e-05]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04446637672561123, -0.3099687121838327, 0.44490811883323717, 3.8352090815305296e-05, -3.141250782852892, -0.000223940874743259]",0.050926,0.012319,,95.9,stable,tof forgot to enter similarly like 1st reading but saved in pl 200,,,,False,True,,-0.9556157502737506,-0.996471063893379,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_002,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/02_tables/e45_all_cycles_master.csv,4,session_20260527_164956,3,brick_01,brick,proposed_contact_usable,3,major,2026-05-27T16:55:47-04:00,2026-05-27T16:57:57-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_003/pipeline_full_session,True,,brick,candidate_001_brick,A1,A1,63.301,v2a_qwen32_single_anchor_contact_scoring,95.89662434505222,94.85123557982043,94.85123557982043,99.85123557982043,True,1.0901205046283033,True,True,True,True,True,True,,True,True,True,True,True,True,106788.957,8683.343,235.279,30138.097,888.849,7.244,64785.58,"[-0.039144835623604816, -0.4294760637102528, 0.17231396583648795, -0.7657014807016015, -3.046432333006669, -0.00023180652255843292]","[-0.03913680464529519, -0.4294872680767815, 0.2023620474576095, -0.7656384051545538, -3.0464609349039677, -8.68035458477918e-05]","[-0.039145310652942085, -0.42946884110725037, 0.17233433617012323, -0.7657301030630687, -3.046402552137219, -0.000229300742860016]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.044453025605216655, -0.3099588874762673, 0.4449147503583953, 0.00012816117104539156, -3.141247022457112, -0.00025102536825374135]",0.021618,0.002371,43.6,96.3,,,,,2208.7155963302753,False,False,1.5274070088000036,-1.4487644201795717,-1.5044282660224007,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_003,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/02_tables/e45_all_cycles_master.csv,5,session_20260527_164956,4,brick_01,brick,proposed_contact_usable,4,major,2026-05-27T16:57:58-04:00,2026-05-27T17:00:31-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_004/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,94.249,v2a_qwen32_single_anchor_contact_scoring,94.4966736253621,94.58618876491609,94.58618876491609,99.58618876491609,True,0.09472834981352843,True,True,True,True,True,True,,True,True,True,True,True,True,103408.312,8595.2,222.014,28266.416,868.368,6.584,62881.376,"[-0.006822800864250593, -0.37197373033232717, 0.17065221133125746, -0.7657117160509419, -3.046473452414362, -0.0002685717129013889]","[-0.006818545959612099, -0.3719844965766429, 0.2006946970813957, -0.7656953087391781, -3.046493734141997, -0.0001703421462784193]","[-0.00683213311346374, -0.371978958083595, 0.17068728374988779, -0.7657215321718001, -3.0464562328356384, -0.00013756919851641084]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04448578245343693, -0.30995964765946477, 0.444905145121908, 6.393270459522368e-05, -3.1412066771122085, -0.0003152039634451888]",0.036667,0.007591,,95.7,,data saved in pl200,,,,False,True,,-1.113811235083915,-1.1638570899518443,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_004,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/02_tables/e45_all_cycles_master.csv,6,session_20260527_164956,5,brick_01,brick,proposed_contact_usable,5,major,2026-05-27T17:00:31-04:00,2026-05-27T17:02:32-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_005/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,94.092,v2a_qwen32_single_anchor_contact_scoring,94.14673032191493,94.23240479902297,94.23240479902297,99.23240479902297,True,0.09100101173465827,True,True,True,True,True,True,,True,True,True,True,True,True,105803.588,8860.231,223.162,30126.244,864.195,6.779,63190.326,"[-0.0064694168821823675, -0.37218905797206453, 0.1706485048449306, -0.7589205447947229, -3.048143681704857, -0.0002876870823920082]","[-0.006470474972506529, -0.37220568341083454, 0.2006899930700486, -0.7588948467164806, -3.0481535870158036, -0.00017992205535202922]","[-0.00646253217559311, -0.37218876011609026, 0.17067560580169494, -0.7589173297426018, -3.048129754762569, -0.00022997417852768786]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04448067855302432, -0.3099654748348829, 0.4449014639260579, 3.809932722967357e-05, -3.1412655164239176, -0.000294172319494]",0.027963,0.003407,48.1,95.7,,,,,1989.6049896049897,False,False,1.5574209361493985,-1.46759520097703,-1.533537305096165,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_164956/01_cycles/cycle_005,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_171611/02_tables/e45_all_cycles_master.csv,2,session_20260527_171611,1,brick_01,brick,proposed_contact_usable,1,major,2026-05-27T17:16:11-04:00,2026-05-27T17:18:18-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_171611/01_cycles/cycle_001/pipeline_full_session,True,,brick,candidate_001_brick,A2,A2,79.081,v2a_qwen32_single_anchor_contact_scoring,94.20062983275557,93.79784475987842,93.79784475987842,98.79784475987842,True,0.4275821441876328,True,True,True,True,True,True,,True,True,True,True,True,True,102392.114,8571.586,220.454,26678.652,874.266,6.757,63497.702,"[-0.022226779380813973, -0.40145658191600914, 0.17195135925685662, -0.7372890530959318, -3.0534531816213146, -0.00030992940109570745]","[-0.022253382795343394, -0.40145869593693495, 0.2019619861310548, -0.7374588064133906, -3.0534681400871966, -0.0003195191839465441]","[-0.0222440735720968, -0.4014620651341981, 0.17199478479131125, -0.7373911689305443, -3.053390208399641, -0.0001713628325300131]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04447730670219956, -0.3099687878189422, 0.44490369369296046, 9.543823935981379e-05, -3.1412215627663547, -0.00029241109448134036]",0.047063,0.010502,,96.2,,,,,,False,True,,-2.402155240121587,-2.4970428691492588,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_171611/01_cycles/cycle_001,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/02_tables/e45_all_cycles_master.csv,2,session_20260527_211019,1,brick_01,brick,proposed_contact_usable,1,major,2026-05-27T21:10:19-04:00,2026-05-27T21:12:33-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_001/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,86.357,v2a_qwen32_single_anchor_contact_scoring,100.65992158545608,100.61623861524147,100.61623861524147,105.61623861524147,True,0.043396586771150214,True,True,True,True,True,True,,True,True,True,True,True,True,97981.007,9047.634,233.815,24695.159,894.766,6.701,57399.493,"[-0.04444781528917583, -0.36989083141466156, 0.17863815336283848, 0.00011043060549281933, -3.1412314781927115, -0.00015593755464187633]","[-0.04444447983880242, -0.36990913915488577, 0.20869903267963927, 0.00022413493856018876, -3.1411556726252337, 1.1523734634622081e-05]","[-0.04444434983348186, -0.369891215500197, 0.17865850800536337, 0.0001486287650195011, -3.141197545364226, -0.0001492682150555082]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04446558753599661, -0.3099603653315721, 0.44492814463177155, 0.00016417324564040785, -3.141199392536448, -0.00011053258919431747]",0.020651,0.002952,43.9,102,,,,,2323.4624145785874,False,False,1.3752863392658294,-1.3837613847585288,-1.356628808586793,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_001,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/02_tables/e45_all_cycles_master.csv,3,session_20260527_211019,2,brick_01,brick,proposed_contact_usable,2,major,2026-05-27T21:12:34-04:00,2026-05-27T21:14:17-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_002/pipeline_full_session,True,,brick,candidate_001_brick,A2,A2,72.474,v2a_qwen32_single_anchor_contact_scoring,100.31872375619064,99.84266829348117,99.84266829348117,104.84266829348117,True,0.47454298149411067,True,True,True,True,True,True,,True,True,True,True,True,True,94509.282,8538.004,229.747,23263.319,884.038,6.57,59197.195,"[-0.04694488380590484, -0.40378290959786234, 0.17885268834782317, -1.614986762390568e-05, -3.1411509230661068, -0.0001471492429874473]","[-0.04696781293297105, -0.4038009351349574, 0.20890128466943392, -4.3173110210919765e-05, -3.141099086214717, 6.6483002680811916e-06]","[-0.046948369038020896, -0.4037740488330327, 0.17887122729076277, -1.988250116079752e-05, -3.141130539569131, -0.00016396087725251637]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04444545212385352, -0.3099504083781838, 0.444931073579687, 0.0001462434018940399, -3.141214466125277, -0.0001470587409121496]",0.020841,0.001529,,,,,,,,False,True,,,,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_002,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/02_tables/e45_all_cycles_master.csv,4,session_20260527_211019,3,brick_01,brick,proposed_contact_usable,3,major,2026-05-27T21:14:17-04:00,2026-05-27T21:15:58-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_003/pipeline_full_session,True,,brick,candidate_001_brick,A3,A3,86.291,v2a_qwen32_single_anchor_contact_scoring,100.31872232366906,100.96385880163479,100.96385880163479,105.96385880163479,True,0.6430868167202609,True,True,True,True,True,True,,True,True,True,True,True,True,96605.865,8598.941,228.094,26123.783,881.2,6.667,57361.961,"[-0.04397406450193322, -0.37001176419675214, 0.17864916565482158, 9.750160549015078e-05, -3.1411803866556363, -7.908334933411434e-05]","[-0.04398521701054439, -0.3700215874052484, 0.20870700595755007, 0.00011201022761078564, -3.141147502674795, 0.00010555216322026771]","[-0.043948215375755086, -0.3699988331089307, 0.178654701463747, 0.00011927384552259608, -3.14120124743151, -0.00016266249768315033]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.04448891410949972, -0.30995868197999277, 0.4449214801814738, 0.00014618994793464099, -3.141192787453638, -0.00016320463059357065]",0.029428,0.005091,,,,,,,,False,True,,,,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_003,,,,,,,,,,,,,,,,,,,,,
outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/02_tables/e45_all_cycles_master.csv,5,session_20260527_211019,4,brick_01,brick,proposed_contact_usable,4,major,2026-05-27T21:15:59-04:00,2026-05-27T21:17:58-04:00,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_004/pipeline_full_session,True,,brick,candidate_001_brick,A2,A2,72.406,v2a_qwen32_single_anchor_contact_scoring,100.31872704350792,99.94420644626524,99.94420644626524,104.94420644626524,True,0.3733306913675753,True,True,True,True,True,True,,True,True,True,True,True,True,97387.626,8833.239,234.643,26079.5,887.366,6.681,59258.606,"[-0.0459915700684676, -0.40413408769859044, 0.178840221063101, 2.786654173780593e-05, -3.14119252369623, -9.607370102408702e-05]","[-0.04600919791047061, -0.4041405194540181, 0.20888903245409807, -8.716724540758045e-05, -3.1411341336055583, 9.051536651001405e-06]","[-0.04599575934478393, -0.404147394406383, 0.17887732044867855, -3.991111817749669e-05, -3.141135243807958, 5.6744291576942974e-05]","[-0.04451708887209529, -0.30996360185460287, 0.44493861019776015, 1.6641551719613543e-05, -3.1411789271540913, -8.944466236178852e-05]","[-0.044467261023608574, -0.3099613339826543, 0.444909318607077, 0.00024825989519595146, -3.1412139558994183, -0.00028487856598563365]",0.039636,0.010125,,,,,,,,False,True,,,,outputs/v2_experiments/e45_robot_upv_repeatability/session_20260527_211019/01_cycles/cycle_004,,,,,,,,,,,,,,,,,,,,,
